City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Yellowknife,CA,2021-01-31 15:01:27,62.456,-114.3525,-11.99,84,75,6.91
95,Noshiro,JP,2021-01-31 15:02:26,40.2039,140.0242,28.36,88,1,5.59
96,Upernavik,GL,2021-01-31 15:02:26,72.7868,-56.1549,-1.03,88,100,6.55
97,Dauriya,RU,2021-01-31 15:02:26,49.9333,116.8667,-25.69,82,16,5.75
98,Mercedes,AR,2021-01-31 15:02:26,-34.6515,-59.4307,70.0,69,97,10.0
99,Oktyabrskiy,RU,2021-01-31 15:02:27,54.4815,53.471,24.17,94,86,9.75
100,Ixtapa,MX,2021-01-31 15:00:15,20.7,-105.2,59.0,94,1,1.63
101,Jardim,BR,2021-01-31 15:01:18,-21.4803,-56.1381,84.6,68,100,8.97
102,Saskylakh,RU,2021-01-31 15:02:27,71.9167,114.0833,-31.07,83,90,8.12
103,East London,ZA,2021-01-31 15:02:27,-33.0153,27.9116,77.0,83,40,8.05
104,Olafsvik,IS,2021-01-31 15:02:27,64.8945,-23.7142,25.56,91,100,7.2
105,Cap Malheureux,MU,2021-01-31 15:02:27,-19.9842,57.6142,82.0,72,27,8.99
106,Butaritari,KI,2021-01-31 15:02:28,3.0707,172.7902,80.46,82,47,13.76
107,Ancud,CL,2021-01-31 15:02:28,-41.8697,-73.8203,62.6,63,0,5.75
108,Adrar,MR,2021-01-31 15:02:28,20.5022,-10.0711,84.4,13,43,9.13
109,Udachnyy,RU,2021-01-31 15:02:28,66.4167,112.4,-36.54,80,100,7.78
110,Aksarka,RU,2021-01-31 15:02:28,66.5606,67.7975,-9.98,90,100,8.41
111,Comodoro Rivadavia,AR,2021-01-31 15:01:19,-45.8667,-67.5,69.8,52,0,10.36
112,Faanui,PF,2021-01-31 15:02:29,-16.4833,-151.75,80.87,74,100,10.87
113,Tucumcari,US,2021-01-31 15:02:29,35.1717,-103.725,33.8,60,1,4.79
114,Port Lincoln,AU,2021-01-31 15:02:29,-34.7333,135.8667,64.04,75,96,7.7
115,Port Alfred,ZA,2021-01-31 15:02:29,-33.5906,26.891,75.99,77,4,1.99
116,Melfort,CA,2021-01-31 15:02:29,52.8667,-104.6177,14.0,85,45,2.3
117,Auki,SB,2021-01-31 15:02:29,-8.7676,160.7034,79.43,82,100,11.05
118,Avarua,CK,2021-01-31 15:02:30,-21.2078,-159.775,73.4,100,96,3.44
119,Mangrol,IN,2021-01-31 15:02:30,21.1167,70.1167,70.57,62,0,9.55
120,Umm Kaddadah,SD,2021-01-31 15:02:30,13.6017,26.6876,84.56,12,0,13.89
121,Pokhara,NP,2021-01-31 15:02:30,28.2333,83.9833,49.33,48,0,3.6
122,Isangel,VU,2021-01-31 15:02:30,-19.55,169.2667,78.3,81,58,14.79
123,Saint-Philippe,RE,2021-01-31 15:02:31,-21.3585,55.7679,84.2,70,0,28.77
124,Georgetown,MY,2021-01-31 14:58:12,5.4112,100.3354,82.4,83,20,2.3
125,Aksu,CN,2021-01-31 15:02:31,41.1231,80.2644,23.59,78,95,1.54
126,Guayaramerin,BO,2021-01-31 15:02:31,-10.8368,-65.3614,80.6,83,75,8.05
127,Margate,GB,2021-01-31 15:02:31,51.3813,1.3862,37.99,84,100,5.99
128,Bluff,NZ,2021-01-31 15:02:31,-46.6,168.3333,54.45,86,100,7.34
129,Naze,JP,2021-01-31 14:58:02,28.3667,129.4833,57.45,63,8,8.72
130,Amapa,BR,2021-01-31 15:02:32,1.0,-52.0,79.38,91,80,3.74
131,Hobart,AU,2021-01-31 15:02:32,-42.8794,147.3294,60.01,82,40,8.05
132,Bonfim,BR,2021-01-31 15:02:32,3.0833,-59.95,86.81,58,64,11.25
133,Esperance,AU,2021-01-31 15:02:32,-33.8667,121.9,62.6,72,0,10.36
134,Nikolskoye,RU,2021-01-31 15:02:33,59.7035,30.7861,26.6,86,75,4.47
135,Lubyany,RU,2021-01-31 15:02:33,56.0378,51.4,32.0,55,0,13.42
136,Dikson,RU,2021-01-31 15:02:33,73.5069,80.5464,-30.42,78,19,8.03
137,Klang,MY,2021-01-31 15:02:33,3.0333,101.45,77.0,94,40,6.91
138,Moss Point,US,2021-01-31 15:02:33,30.4116,-88.5345,66.2,82,90,3.44
139,Kontagora,NG,2021-01-31 15:02:33,10.3999,5.4695,100.67,8,10,3.67
140,Tautira,PF,2021-01-31 15:01:57,-17.7333,-149.15,75.2,69,75,11.1
141,Bengkulu,ID,2021-01-31 15:02:34,-3.8004,102.2655,77.16,85,100,4.32
142,Kaeo,NZ,2021-01-31 15:02:34,-35.1,173.7833,55.0,93,0,5.01
143,Norman Wells,CA,2021-01-31 15:02:34,65.282,-126.8329,-20.2,76,75,5.75
144,Constitucion,CL,2021-01-31 15:02:34,-35.3333,-72.4167,65.91,72,9,4.36
145,Khani,GE,2021-01-31 15:02:35,41.9563,42.9566,53.6,50,90,2.3
146,Khash,IR,2021-01-31 15:02:35,28.2211,61.2158,55.63,38,0,8.59
147,Chama,CH,2021-01-31 15:02:35,47.1821,8.4636,48.0,76,90,2.28
148,Sakakah,SA,2021-01-31 15:02:35,29.9697,40.2064,68.0,18,0,6.91
149,Bilibino,RU,2021-01-31 15:02:35,68.0546,166.4372,-15.99,83,100,6.69
150,Cabedelo,BR,2021-01-31 15:00:16,-6.9811,-34.8339,84.2,70,75,13.8
151,Kourou,GF,2021-01-31 15:02:35,5.1552,-52.6478,82.4,74,90,16.11
152,Maragogi,BR,2021-01-31 15:02:36,-9.0122,-35.2225,84.09,66,55,11.59
153,Atar,MR,2021-01-31 15:02:11,20.5169,-13.0499,89.67,11,62,12.77
154,Airai,TL,2021-01-31 15:02:36,-8.9266,125.4092,61.7,100,100,3.58
155,Sao Miguel Do Araguaia,BR,2021-01-31 15:02:36,-13.275,-50.1628,87.26,65,36,2.33
156,New Norfolk,AU,2021-01-31 15:02:36,-42.7826,147.0587,60.01,66,83,2.28
157,Verkhniy Rohachyk,UA,2021-01-31 15:02:36,47.2505,34.338,37.11,75,99,5.3
158,Cururupu,BR,2021-01-31 15:02:37,-1.8283,-44.8683,89.01,56,39,8.52
159,Zaranj,AF,2021-01-31 15:02:37,30.9667,61.8833,66.2,22,0,6.91
160,Sur,OM,2021-01-31 15:02:37,22.5667,59.5289,69.4,58,0,4.38
