City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Vao,NC,-22.6667,167.4833,78.6,83,0,9.37,clear sky
168,Kavaratti,IN,10.5669,72.642,80.53,75,93,13.24,overcast clouds
169,Araouane,ML,18.9048,-3.5265,77.09,16,100,7.65,overcast clouds
170,Ahipara,NZ,-35.1667,173.1667,70.68,67,92,3.8,overcast clouds
171,Hualmay,PE,-11.0964,-77.6139,70.11,81,91,8.05,overcast clouds
172,Chulman,RU,56.8479,124.9104,-23.04,85,99,3.51,overcast clouds
173,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.17,92,100,1.34,overcast clouds
174,Mount Gambier,AU,-37.8333,140.7667,66.2,59,40,13.8,scattered clouds
175,Victoria,HK,22.2855,114.1577,68.0,80,0,4.76,clear sky
176,Bethel,US,41.3712,-73.414,35.01,93,1,4.81,clear sky
177,Tagusao,PH,9.1924,117.8141,81.01,76,100,3.96,overcast clouds
178,Krutikha,RU,53.9599,81.2093,25.5,98,100,5.93,overcast clouds
179,Lagoa,PT,39.05,-27.9833,58.3,86,49,16.82,scattered clouds
180,Talnakh,RU,69.4865,88.3972,-27.56,83,51,4.56,broken clouds
181,Dicabisagan,PH,17.0818,122.4157,76.68,79,76,6.31,broken clouds
182,Toamasina,MG,-18.1667,49.3833,75.2,100,75,3.58,light rain
183,Port Hardy,CA,50.6996,-127.4199,44.6,75,75,8.05,broken clouds
184,Matara,LK,5.9485,80.5353,73.65,86,62,3.91,broken clouds
185,Bethanien,NA,-26.502,17.1583,76.08,31,0,6.11,clear sky
186,Lobatse,BW,-25.2167,25.6667,66.2,94,100,3.44,overcast clouds
187,Atar,MR,20.5169,-13.0499,58.95,55,99,11.72,overcast clouds
188,Saskylakh,RU,71.9167,114.0833,-31.31,83,78,5.37,broken clouds
189,Pangody,RU,65.85,74.4859,-14.17,89,100,12.06,light snow
190,San Cristobal,VE,7.7669,-72.225,67.73,85,100,0.98,overcast clouds
191,Dikson,RU,73.5069,80.5464,-31.65,85,9,10.87,clear sky
192,Humberto De Campos,BR,-2.5983,-43.4611,76.71,82,90,7.34,overcast clouds
193,Xining,CN,36.6167,101.7667,21.6,57,99,2.08,overcast clouds
194,Baijiantan,CN,45.6333,85.1833,14.92,92,100,2.06,overcast clouds
